Department,University,City/Cities,Marks required,Labs Avalible,Course Description,Admission dates,shifts,online,offered courses,clean_text
"Computing & IT, Engineering",Portland State University,"Portland, OR",75,Yes,"Offers computing, engineering, and applied sciences with active lab work.","Jan, Sep","Morning, Evening",Yes,"CS, CE, IT",offer computing   engineering   apply science active lab work
"Computing & IT, Management",San Francisco State University,"San Francisco, CA",75,Yes,Provides computing and business programs with industry focus.,"Jan, Aug","Morning, Evening",Yes,"CS, Bus",provide computing business program industry focus
"Computing & IT, Life Sciences","University of Nevada, Reno","Reno, NV",76,Yes,"Offers computing, sciences, and health related programs.","Jan, Aug","Morning, Evening",Yes,"CS, Bio, Health",offer computing   science   health relate program
"Computing & IT, Social Sciences",Cleveland State University,"Cleveland, OH",75,Yes,Provides computing and social sciences with lab components.,"Jan, Aug","Morning, Evening",Yes,"CS, Psych",provide computing social science lab component
"Computing & IT, Engineering",Old Dominion University,"Norfolk, VA",75,Yes,Offers engineering and computing programs with labs.,"Jan, Aug","Morning, Evening",Yes,"CS, Eng",offer engineering compute program lab
"Computing & IT, Management",Loyola University Chicago,"Chicago, IL",80,Yes,Private university with computing and business disciplines.,"Jan, Aug","Morning, Evening",Yes,"CS, Bus",private university computing business discipline
"Computing & IT, Life Sciences",University of Houston,"Houston, TX",78,Yes,"Offers computing, sciences, and health programs.","Jan, Aug","Morning, Evening",Yes,"CS, Bio",offer computing   science   health program
"Computing & IT, Engineering",University of Rhode Island,"Kingston, RI",77,Yes,Public institution with computing and engineering labs.,"Jan, Aug","Morning, Evening",Yes,"CS, Eng",public institution computing engineering lab
"Computing & IT, Social Sciences",Oakland University,"Rochester, MI",76,Yes,Offers computing and social sciences with lab access.,"Jan, Aug","Morning, Evening",Yes,"CS, Psych",offer computing social science lab access
"Computing & IT, Management",Seton Hall University,"South Orange, NJ",78,Yes,Private university offering computing and business programs.,"Jan, Aug","Morning, Evening",Yes,"CS, Bus",private university offering computing business program
"Computing & IT, Engineering",Milwaukee School of Engineering,"Milwaukee, WI",78,Yes,Engineering and tech?oriented university emphasizing labs.,"Jan, Aug",Morning,Yes,"CS, Eng",engineering tech orient university emphasize lab
"Computing & IT, Life Sciences",Missouri University of Science & Technology,"Rolla, MO",78,Yes,STEM focused university with strong lab programs.,"Jan, Aug","Morning, Evening",Yes,"CS, Bio, Eng",stem focus university strong lab program
"Computing & IT, Social Sciences",James Madison University,"Harrisonburg, VA",78,Yes,"Offers computing, social sciences, and business.","Jan, Aug","Morning, Evening",Yes,"CS, Psych",offer computing   social science   business
"Computing & IT, Management",Chapman University,"Orange, CA",80,Yes,Private university with computing and business focus.,"Jan, Aug","Morning, Evening",Yes,"CS, Bus",private university computing business focus
"Computing & IT, Engineering",Clarkson University,"Potsdam, NY",80,Yes,Technical university with engineering and computing labs.,"Jan, Aug",Morning,Yes,"CS, Eng",technical university engineering compute lab
"Computing & IT, Life Sciences",Lamar University,"Beaumont, TX",75,Yes,Offers computing and life sciences programs.,"Jan, Aug","Morning, Evening",Yes,"CS, Bio",offer computing life science program
"Computing & IT, Social Sciences",University of Dayton,"Dayton, OH",80,Yes,Private institution with computing and social sciences.,"Jan, Aug","Morning, Evening",Yes,"CS, Psych",private institution computing social science
"Computing & IT, Management",Fairfield University,"Fairfield, CT",80,Yes,Private university with computing and business degrees.,"Jan, Aug","Morning, Evening",Yes,"CS, Bus",private university computing business degree
"Computing & IT, Engineering",Southern Illinois University,"Carbondale, IL",77,Yes,Offers engineering and computing with labs.,"Jan, Aug","Morning, Evening",Yes,"CS, Eng",offer engineering computing lab
"Computing & IT, Life Sciences",Towson University,"Towson, MD",78,Yes,"Programs in computing, life sciences, and health.","Jan, Aug","Morning, Evening",Yes,"CS, Bio, Health",program compute   life science   health
"Computing & IT, Management",Drexel University,"Philadelphia, PA",82,Yes,Cooperative education focus with computing and business.,"Jan, Sep","Morning, Evening",Yes,"CS, Bus",cooperative education focus computing business
"Computing & IT, Life Sciences",Valparaiso University,"Valparaiso, IN",77,Yes,Private university with computing and sciences.,"Jan, Aug","Morning, Evening",Yes,"CS, Bio",private university computing science
"Computing & IT, Management",University of Louisville,"Louisville, KY",78,Yes,Offers computing and business programs.,"Jan, Aug","Morning, Evening",Yes,"CS, Bus",offer computing business program
"Computing & IT, Engineering",Embry?Riddle Aeronautical University,"Daytona Beach, FL",80,Yes,"Leading for aerospace, engineering, and computing.","Jan, Aug","Morning, Evening",Yes,"Aero, CS, Eng",lead aerospace   engineering   compute
"Computing & IT, Life Sciences",Western Michigan University,"Kalamazoo, MI",76,Yes,"Offers computing, life sciences, and health.","Jan, Aug","Morning, Evening",Yes,"CS, Bio, Health",offer computing   life science   health
"Computing & IT, Social Sciences",Ball State University,"Muncie, IN",76,Yes,Provides computing and social sciences.,"Jan, Aug","Morning, Evening",Yes,"CS, Psych",provide computing social science
"Computing & IT, Management",Quinnipiac University,"Hamden, CT",80,Yes,Private university with computing and management.,"Jan, Aug","Morning, Evening",Yes,"CS, Bus",private university computing management
"Computing & IT, Engineering",RIT Croatia / Rochester Institute of Technology,"Rochester, NY",85,Yes,Global tech?focused campus of RIT with labs.,"Jan, Sep","Morning, Evening",Yes,"CS, Eng",global tech focus campus rit lab
"Computing & IT, Social Sciences",SUNY College at Geneseo,"Geneseo, NY",80,Yes,Honors?level public university with labs.,"Jan, Aug","Morning, Evening",Yes,"CS, Psych",honor level public university lab
"Computing & IT, Management",Hofstra University,"Hempstead, NY",78,Yes,Offers computing and business majors.,"Jan, Aug","Morning, Evening",Yes,"CS, Bus",offer computing business major
"Computing & IT, Life Sciences",St. Cloud State University,"St. Cloud, MN",76,Yes,Offers computing and life sciences routes.,"Jan, Aug","Morning, Evening",Yes,"CS, Bio",offer computing life science route
"Computing & IT, Management",Fairfield University,"Fairfield, CT",80,Yes,Business & computing with research opportunities.,"Jan, Aug","Morning, Evening",Yes,"CS, Bus",business    computing research opportunity
"Computing & IT, Engineering",University of New Haven,"West Haven, CT",78,Yes,Strong computing and engineering emphasis.,"Jan, Aug","Morning, Evening",Yes,"CS, Eng",strong computing engineering emphasis
"Computing & IT, Management",DePaul University,"Chicago, IL",78,Yes,Offers computing and business pathways.,"Jan, Aug","Morning, Evening",Yes,"CS, Bus",offer computing business pathway
"Computing & IT, Engineering",Kettering University,"Flint, MI",78,Yes,Focus on engineering and computing with co?ops.,"Jan, Aug","Morning, Evening",Yes,"Eng, CS",focus engineering computing co op
"Computing & IT, Engineering",Florida Atlantic University,"Boca Raton, FL",78,Yes,Offers engineering and tech courses.,"Jan, Aug","Morning, Evening",Yes,"CS, Eng",offer engineering tech course
"Computing & IT, Social Sciences","California State University, Long Beach","Long Beach, CA",78,Yes,"Offers computing, social sciences, business and arts with lab components.","Jan, Aug","Morning, Evening",Yes,"CS, Psych, Econ",offer computing   social science   business art lab component
"Computing & IT, Management",San Diego Christian College,"El Cajon, CA",75,Yes,Small college with computing and business programs.,"Jan, Aug","Morning, Evening",Yes,"CS, Bus",small college computing business program
"Computing & IT, Engineering","California Polytechnic State University, San Luis Obispo","San Luis Obispo, CA",85,Yes,Strong engineering and tech focus with labs.,"Jan, Sep","Morning, Evening",Yes,"CS, Eng",strong engineering tech focus lab
"Computing & IT, Social Sciences","California State University, Fresno","Fresno, CA",77,Yes,Public university with social sciences and tech programs.,"Jan, Aug","Morning, Evening",Yes,"CS, Psych",public university social science tech program
"Computing & IT, Life Sciences","California State University, Fullerton","Fullerton, CA",78,Yes,Offers computing and life sciences majors.,"Jan, Aug","Morning, Evening",Yes,"CS, Bio",offer computing life science major
"Computing & IT, Social Sciences",Eastern Kentucky University,"Richmond, KY",75,Yes,Offers computing and social science majors.,"Jan, Aug","Morning, Evening",Yes,"CS, Psych",offer computing social science major
"Computing & IT, Life Sciences",Ball State University,"Muncie, IN",76,Yes,Offers computing and life sciences with labs.,"Jan, Aug","Morning, Evening",Yes,"CS, Bio",offer computing life science lab
"Computing & IT, Management",University of South Alabama,"Mobile, AL",78,Yes,Offers computing and business degrees.,"Jan, Aug","Morning, Evening",Yes,"CS, Bus",offer computing business degree
"Computing & IT, Engineering",University of North Carolina at Charlotte,"Charlotte, NC",78,Yes,Offers computing/engineering with labs.,"Jan, Aug","Morning, Evening",Yes,"CS, Eng",offer computing engineering lab
"Computing & IT, Social Sciences",University of North Carolina at Greensboro,"Greensboro, NC",77,Yes,Offers computing and social science programs.,"Jan, Aug","Morning, Evening",Yes,"CS, Psych",offer computing social science program
"Computing & IT, Life Sciences",University of Tennessee at Chattanooga,"Chattanooga, TN",76,Yes,Offers computing and life science majors.,"Jan, Aug","Morning, Evening",Yes,"CS, Bio",offer computing life science major
"Computing & IT, Engineering",Western Kentucky University,"Bowling Green, KY",76,Yes,Offers computing and engineering degrees.,"Jan, Aug","Morning, Evening",Yes,"CS, Eng",offer computing engineering degree
"Computing & IT, Life Sciences",University of Mississippi (Ole Miss),"Oxford, MS",77,Yes,"Offers computing and life science, health.","Jan, Aug","Morning, Evening",Yes,"CS, Bio",offer computing life science   health
"Computing & IT, Engineering",Fort Hays State University,"Hays, KS",74,Yes,Offers computing and engineering labs.,"Jan, Aug","Morning, Evening",Yes,"CS, Eng",offer computing engineering lab
"Computing & IT, Life Sciences","Minnesota State University, Mankato","Mankato, MN",76,Yes,Offers computing and life science programs.,"Jan, Aug","Morning, Evening",Yes,"CS, Bio",offer computing life science program
"Computing & IT, Engineering","California State University, San Marcos","San Marcos, CA",77,Yes,Offers computing and tech programs.,"Jan, Aug","Morning, Evening",Yes,"CS, Eng",offer computing tech program
"Computing & IT, Engineering, Sciences",University of Oxford,Oxford,A*AA+ (Top),Yes,"World?renowned research university with strengths across computing, engineering, life sciences, social sciences.","Oct (UG), Jan/Feb (some PG)",Day,Yes,"CS, Engineering, Physics, Econ, Medicine",world renowne research university strength compute   engineering   life science   social science
"Computing & IT, Engineering, Sciences",University of Cambridge,Cambridge,A*AA+ (Top),Yes,"Historic research university excelling in sciences, computing, management and humanities.","Oct (UG), Jan (PG)",Day,Yes,"CS, Engineering, Medicine, Bio Sci",historic research university excelling science   compute   management humanity
"Computing & IT, Engineering",Imperial College London,London,AAA+,Yes,"Specialist science & technology university with engineering, computing & business.",Sep/Oct,Day,Yes,"CS, Eng, Data Sci, Mgmt",specialist science    technology university engineering   compute    business
"Computing & IT, Management",University College London (UCL),London,ABB+,Yes,"Large multidisciplinary university with strong computing, management, sciences.",Sep/Oct,Day,Yes,"CS, Business, Psych, Bio Sci",large multidisciplinary university strong computing   management   science
"Computing & IT, Social Sciences",London School of Economics (LSE),London,ABB+,Yes,"Focused mainly on social sciences, economics, management and computing.",Sep/Oct,Day,Yes,"Econ, Management, Social Sci",focus mainly social science   economics   management computing
"Computing & IT, Engineering",University of Edinburgh,Edinburgh,AAB+,Yes,"Research?intensive with computing, engineering, sciences and humanities.",Sep/Oct,Day,Yes,"CS, Eng, Bio Sci",research intensive compute   engineering   science humanity
"Computing & IT, Engineering",University of Manchester,Manchester,ABB+,Yes,"Broad research university with computing, engineering, sciences, management.",Sep/Oct,Day,Yes,"CS, Eng, Bus, Econ",broad research university computing   engineering   science   management
"Computing & IT, Engineering, Health",Kings College London,London,ABB+,Yes,"Strong in health sciences, computing, business & humanities.",Sep/Oct,Day,Yes,"Medicine, CS, Law, Bio Sci",strong health science   compute   business    humanity
"Computing & IT, Sciences",University of Bristol,Bristol,ABB+,Yes,"Comprehensive university offering sciences, computing, engineering and social sciences.",Sep/Oct,Day,Yes,"CS, Physics, Econ",comprehensive university offering sciences   computing   engineering social science
"Computing & IT, Social Sciences",University of Warwick,Coventry,ABB+,Yes,"Balanced programmes in computing, management, social sciences and engineering.",Sep/Oct,Day,Yes,"Management, CS, Econ",balanced programme compute   management   social science engineering
"Computing & IT, Health",Queen Mary University of London,London,ABB+,Yes,"Offers computing, health sciences, pharmacy, social sciences.",Sep/Oct,Day,Yes,"CS, Pharmacy, Nursing",offer computing   health science   pharmacy   social science
"Computing & IT, Engineering",University of Glasgow,Glasgow,ABB+,Yes,Strong research university with STEM and social sciences.,Sep/Oct,Day,Yes,"CS, Eng, Econ",strong research university stem social science
"Computing & IT, Life Sciences",University of Sheffield,Sheffield,ABB+,Yes,"Offers computing, engineering, life sciences & management.",Sep/Oct,Day,Yes,"CS, Bio Sci, Management",offer computing   engineering   life science    management
"Computing & IT, Pharmacy",University of Nottingham,Nottingham,ABB+,Yes,"Known for pharmacy, biomedical, engineering and computer science.",Sep/Oct,Day,Yes,"Pharm, CS, Bio Sci",know pharmacy   biomedical   engineering computer science
"Computing & IT, Engineering",University of Leeds,Leeds,BBB+,Yes,Offers broad STEM and social science programs.,Sep/Oct,Day,Yes,"CS, Eng, Econ",offer broad stem social science program
"Computing & IT, Health",University of Birmingham,Birmingham,BBB+,Yes,"Offers computing, engineering, health sciences and social sciences.",Sep/Oct,Day,Yes,"CS, Med, Nursing",offer computing   engineering   health science social science
"Computing & IT, Sciences",University of Southampton,Southampton,BBB+,Yes,"Well?ranked in computing, engineering and sciences.",Sep/Oct,Day,Yes,"CS, Eng, Physics",rank compute   engineering science
"Computing & IT, Social Sciences",Newcastle University,Newcastle,BBB+,Yes,"Offers computing, business, social sciences and health.",Sep/Oct,Day,Yes,"CS, Bus, Psych",offer computing   business   social science health
"Computing & IT, Health",Cardiff University,Cardiff,BBB+,Yes,"Offers computing, health sciences and engineering.",Sep/Oct,Day,Yes,"CS, Nursing",offer computing   health science engineering
"Computing & IT, Life Sciences",University of Leeds,Leeds,BBB+,Yes,Wide range of programmes including computing and sciences.,Sep/Oct,Day,Yes,"CS, Bio Sci",wide range programme include computing science
"Computing & IT, Engineering",University of Exeter,Exeter,BBB+,Yes,"Offers computing, engineering, sciences & social sciences.",Sep/Oct,Day,Yes,"CS, Eng, Econ",offer computing   engineering   science    social science
"Computing & IT, Management",University of Liverpool,Liverpool,BBB+,Yes,"Offers computing, management, business & sciences.",Sep/Oct,Day,Yes,"CS, Bus, Econ",offer computing   management   business    science
"Computing & IT, Social Sciences",University of York,York,BBB+,Yes,Balanced programmes with computing and social sciences.,Sep/Oct,Day,Yes,"CS, Psych, Econ",balanced programme computing social science
"Computing & IT, Life Sciences",University of Aberdeen,Aberdeen,BBB+,Yes,"Offers computing, life sciences, social sciences.",Sep/Oct,Day,Yes,"CS, Bio Sci",offer computing   life science   social science
"Computing & IT, Social Sciences",University of Sussex,Brighton,BBB,Yes,Known for social sciences and computing.,Sep/Oct,Day,Yes,"CS, Soc Sci",know social science compute
"Computing & IT, Life Sciences",University of Reading,Reading,BBB,Yes,"Offers computing, life sciences, business.",Sep/Oct,Day,Yes,"CS, Bio Sci",offer computing   life science   business
"Computing & IT, Health",Queens University Belfast,Belfast,BBB,Yes,"Offers computing, health sciences & pharmacy.",Sep/Oct,Day,Yes,"CS, Pharm",offer computing   health science    pharmacy
"Computing & IT, Engineering",University of Surrey,Guildford,BBB,Yes,Strong in engineering and computing.,Sep/Oct,Day,Yes,"CS, Eng",strong engineering computing
"Computing & IT, Life Sciences",University of Hull,Hull,BBB,Yes,Offers computing and life sciences.,Sep/Oct,Day,Yes,"CS, Bio Sci",offer computing life science
"Computing & IT, Engineering",University of East Anglia,Norwich,BBB,Yes,Offers computing and engineering.,Sep/Oct,Day,Yes,"CS, Eng",offer computing engineering
"Computing & IT, Management",Aston University,Birmingham,BBB,Yes,"Offers computing, management, business and engineering.",Sep/Oct,Day,Yes,"CS, MBA",offer computing   management   business engineering
"Computing & IT, Social Sciences",University of Kent,Canterbury,BBB,Yes,"Offers computing, social sciences, business and pharmacy.",Sep/Oct,Day,Yes,"CS, Psych, Pharm",offer computing   social science   business pharmacy
"Computing & IT, Engineering",University of Strathclyde,Glasgow,BBB,Yes,"Offers computing, engineering and sciences.",Sep/Oct,Day,Yes,"CS, Eng",offer computing   engineering science
"Computing & IT, Health",University of Brighton,Brighton,BBB,Yes,"Offers computing, pharmacy, health sciences & arts.",Sep/Oct,Day,Yes,"CS, Pharm, Nursing",offer computing   pharmacy   health science    art
"Computing & IT, Engineering",University of Hertfordshire,Hatfield,BBB,Yes,"Offers computing, engineering and business.","Sep/Oct, Jan",Day,Yes,"CS, Eng",offer computing   engineering business
"Computing & IT, Social Sciences",University of Portsmouth,Portsmouth,BBB,Yes,"Offers computing, social sciences, business and health.","Sep/Oct, Jan",Day,Yes,"CS, Bus",offer computing   social science   business health
"Computing & IT, Management",Manchester Metropolitan University,Manchester,BCC,Yes,"Offers computing, business and arts.","Sep/Oct, Jan",Day,Yes,"CS, Bus",offer computing   business art
"Computing & IT, Life Sciences",Ulster University,Various NI,BBC,Yes,"Offers computing, life sciences and health programs.","Sep/Oct, Jan",Day,Yes,"CS, Bio Sci",offer computing   life science health program
"Computing & IT, Engineering",Coventry University,Coventry,BCC,Yes,"Focus on applied computing, engineering & business.",Sep/Oct,Day,Yes,"CS, Eng, Bus",focus apply computing   engineering    business
"Computing & IT, Social Sciences",Birmingham City University,Birmingham,BCC,Yes,"Offers computing, social sciences & business.",Sep/Oct,Day,Yes,"CS, Psych",offer computing   social science    business
"Computing & IT, Life Sciences",Bangor University,Bangor,BBC,Yes,Offers computing and life sciences.,Sep/Oct,Day,Yes,"CS, BioSci",offer computing life science
"Computing & IT, Management",De Montfort University,Leicester,BCC,Yes,"Offers computing, business & management.",Sep/Oct,Day,Yes,"CS, Bus",offer computing   business    management
"Computing & IT, Life Sciences",Abertay University,Dundee,BBC,Yes,Known for computing and cyber security & sciences.,Sep/Oct,Day,Yes,"CS, Cyber",know computing cyber security    science
"Computing & IT, Management",Staffordshire University,Stoke?on?Trent,BCC,Yes,"Offers computing, business & management programs.",Sep/Oct,Day,Yes,"CS, Bus",offer computing   business    management program
"Computing & IT, Engineering",University of Derby,Derby,BCC,Yes,"Offers computing, engineering & business.",Sep/Oct,Day,Yes,"CS, Eng",offer computing   engineering    business
"Computing & IT, Health","St Georges, University of London",London,BBC,Yes,Focus on health sciences and medicine.,Sep/Oct,Day,Yes,"Medicine, Health Sci",focus health science medicine
"Computing & IT, Social Sciences",Canterbury Christ Church Univ.,Canterbury,BBC,Yes,"Offers computing, social sciences & education.",Sep/Oct,Day,Yes,"CS, Psych",offer computing   social science    education
"Computing & IT, Social Sciences",University of Sunderland,Sunderland,BBC,Yes,"Offers computing, business & social science degrees with lab work.","Sep, Jan",Day,Yes,"CS, Psych, Business",offer computing   business    social science degree lab work
"Computing & IT, Management",London Metropolitan University,London,BBC,Yes,Applied computing and business programs.,"Sep, Jan",Day,Yes,"CS, Bus",apply computing business program
"Computing & IT, Engineering",Edge Hill University,Ormskirk,BBC,Yes,Provides computing and engineering programs.,"Sep, Jan",Day,Yes,"CS, Eng",provide computing engineering program
"Computing & IT, Life Sciences",University of Winchester,Winchester,BBC,Yes,Offers computing and science?based degrees.,Sep,Day,Yes,"CS, Bio Sci",offer computing science base degree
"Computing & IT, Social Sciences",Leeds Trinity University,Leeds,BBC,Yes,Offers computing and social science courses.,Sep,Day,Yes,"CS, Psych",offer computing social science course
"Computing & IT, Life Sciences",University of Cumbria,"Carlisle, Lancaster, London",BBC,Yes,Offers computing and science programs.,Sep,Day,Yes,"CS, Bio Sci",offer computing science program
"Computing & IT, Social Sciences",Staffordshire University,Stoke?on?Trent,BBC,Yes,Broad programs in computing and social sciences.,"Sep, Jan",Day,Yes,"CS, Psych",broad program computing social science
"Computing & IT, Management",Leeds Arts University,Leeds,BBC,Yes,Digital and creative computing with business options.,Sep,Day,Yes,"Digital Media, CS",digital creative computing business option
"Computing & IT, Engineering",University of Bolton,Bolton,BBC,Yes,Offers computing and engineering courses.,"Sep, Jan",Day,Yes,"CS, Eng",offer computing engineering course
"Computing & IT, Life Sciences",University of Wales Trinity Saint David,Multiple UK,BBC,Yes,Offers computing and science courses.,Sep,Day,Yes,"CS, Bio Sci",offer computing science course
"Computing & IT, Social Sciences",Buckinghamshire New University,High Wycombe,BBC,Yes,Offers computing and social science degrees.,Sep,Day,Yes,"CS, Psych",offer computing social science degree
"Computing & IT, Management",Canterbury Christ Church University,Canterbury,BBC,Yes,Offers business and computing programs.,Sep,Day,Yes,"CS, Bus",offer business computing program
"Computing & IT, Management",Edge Hill University,Ormskirk,BBC,Yes,"Offers computing, business and management.","Sep, Jan",Day,Yes,"CS, Bus",offer computing   business management
"Computing & IT, Life Sciences",University of Gloucestershire,Cheltenham,BBC,Yes,Offers computing and life science programs.,"Sep, Jan",Day,Yes,"CS, Bio Sci",offer computing life science program
"Computing & IT, Management",University of Derby,Derby,BBC,Yes,Offers computing and management programs.,"Sep, Jan",Day,Yes,"CS, Bus",offer computing management program
"Computing & IT, Engineering",University of West London,London,BBC,Yes,Provides computing and engineering.,"Sep, Jan",Day,Yes,"CS, Eng",provide computing engineering
"Computing & IT, Engineering",York St John University,York,BBC,Yes,Offers computing & tech programs.,Sep,Day,Yes,"CS, Eng",offer computing    tech program
"Computing & IT, Life Sciences",University of Westminster,London,BBC,Yes,Offers computing and science?related degrees.,"Sep, Jan",Day,Yes,"CS, Bio Sci",offer computing science relate degree
"Computing & IT, Social Sciences",Queen Margaret University,Edinburgh,BBC,Yes,Offers social sciences and computing.,"Sep, Jan",Day,Yes,"CS, Psych",offer social science compute
"Computing & IT, Management",University of South Wales,Cardiff,BBC,Yes,Offers computing and management.,Sep,Day,Yes,"CS, Bus",offer computing management
"Computing & IT, Social Sciences",York St John University,York,BBC,Yes,Offers computing & social science.,Sep,Day,Yes,"CS, Psych",offer compute    social science
"Computing & IT, Engineering",University of Suffolk,Ipswich,BBC,Yes,Offers computing & engineering programs.,Sep,Day,Yes,"CS, Eng",offer computing    engineering program
"Computing & IT, Social Sciences",Falmouth University,Falmouth,BBC,Yes,Creative computing and social studies.,Sep,Day,Yes,"CS, Media",creative computing social study
"Computing & IT, Management",Leeds Trinity University,Leeds,BBC,Yes,Offers computing & business.,Sep,Day,Yes,"CS, Bus",offer computing    business
"Computing & IT, Life Sciences",Arts University Bournemouth,Bournemouth,BBC,Yes,Creativity & computing/science programs.,Sep,Day,Yes,"CS, Bio Sci",creativity    compute science program
"Computing & IT, Social Sciences",Wrexham Glynd?r University,Wrexham,BBC,Yes,Offers computing & social sciences.,Sep,Day,Yes,"CS, Psych",offer computing    social science
"Computing & IT, Management",Buckinghamshire New University,High Wycombe,BBC,Yes,Offers computing & management courses.,Sep,Day,Yes,"CS, Bus",offer computing    management course
"Computing & IT, Life Sciences",University of Worcester,Worcester,BBC,Yes,Offers computing & science degrees.,Sep,Day,Yes,"CS, Bio Sci",offer compute    science degree
"Computing & IT, Management",Leeds Arts University,Leeds,BBC,Yes,Offers computing & business options.,Sep,Day,Yes,"CS, Bus",offer compute    business option
"Computing & IT, Engineering",Nottingham Trent University,Nottingham,BBB,Yes,Offers computing & engineering programs (expanded intake).,Sep,Day,Yes,"CS, Eng",offer computing    engineering program   expand intake  
"Computing & IT, Management",University of Abertay Dundee,Dundee,BBC,Yes,"Known for computing, cybersecurity, and applied sciences programs.",Sep,Day,Yes,"CS, Cyber Security, IT, Business",know compute   cybersecurity   apply science program
"Computing & IT, Life Sciences",University of Bedfordshire,"Luton, Bedford",BBC,Yes,"Offers computing, life sciences, and health sciences programs.","Sep, Jan",Day,Yes,"CS, Bio Sci, Health",offer computing   life science   health science program
"Computing & IT, Engineering",University of Bolton,Bolton,BBC,Yes,"Offers computing, engineering, and technology programs.","Sep, Jan",Day,Yes,"CS, Eng, IT",offer computing   engineering   technology program
"Computing & IT, Social Sciences",London Metropolitan University,London,BBC,Yes,"Offers computing, business, and social sciences programs.","Sep, Jan",Day,Yes,"CS, Psych, Business",offer computing   business   social science program
"Computing & IT, Management",University of Chichester,Chichester,BBC,Yes,"Offers business, computing, and management courses.",Sep,Day,Yes,"CS, Business, Management",offer business   computing   management course
"Computing & IT, Engineering",University of Cumbria,"Carlisle, Lancaster, London",BBC,Yes,Offers computing and engineering programs.,Sep,Day,Yes,"CS, Eng, IT",offer computing engineering program
"Computing & IT, Life Sciences",Newman University,Birmingham,BBC,Yes,Offers computing and life sciences courses.,Sep,Day,Yes,"CS, Bio Sci",offer computing life science course
"Computing & IT, Social Sciences",University of Winchester,Winchester,BBC,Yes,Offers computing and social sciences programs.,Sep,Day,Yes,"CS, Psych",offer computing social science program
"Computing & IT, Management",Bath Spa University,Bath,BBC,Yes,"Offers computing, business, and management courses.",Sep,Day,Yes,"CS, Business, Management",offer computing   business   management course
"Computing & IT, Life Sciences",University of Worcester,Worcester,BBC,Yes,Offers computing and life sciences programs.,Sep,Day,Yes,"CS, Bio Sci",offer computing life science program
"Computing & IT, Management",Leeds Arts University,Leeds,BBC,Yes,Offers creative computing and business programs.,Sep,Day,Yes,"CS, Media, Business",offer creative computing business program
"Computing & IT, Life Sciences",Arts University Bournemouth,Bournemouth,BBC,Yes,"Creative computing, media, and life sciences programs.",Sep,Day,Yes,"CS, Bio Sci, Media",creative computing   medium   life science program
"Computing & IT, Social Sciences",University of Gloucestershire,Cheltenham,BBC,Yes,Offers computing and social sciences programs.,"Sep, Jan",Day,Yes,"CS, Psych, Social Sci",offer computing social science program
"Computing & IT, Management",Staffordshire University,Stoke-on-Trent,BBC,Yes,"Offers computing, business, and management programs.","Sep, Jan",Day,Yes,"CS, Business, Management",offer computing   business   management program
"Computing & IT, Life Sciences",University of the West of England (UWE),Bristol,BBB,Yes,"Offers computing, life sciences, and creative courses.",Sep,Day,Yes,"CS, Bio Sci, Media",offer computing   life science   creative course
"Computing & IT, Management",York St John University,York,BBC,Yes,"Offers computing, business, and management programs.",Sep,Day,Yes,"CS, Business",offer computing   business   management program
"Computing & IT, Life Sciences",University of South Wales,Cardiff,BBC,Yes,"Offers computing, life sciences, and health programs.",Sep,Day,Yes,"CS, Bio Sci, Health",offer computing   life sciences   health program
"Computing & IT, Life Sciences",Queen Margaret University,Edinburgh,BBC,Yes,"Offers computing, health, and life sciences programs.","Sep, Jan",Day,Yes,"CS, Bio Sci",offer computing   health   life science program
"Computing & IT, Engineering",Harper Adams University,Newport,BBC,Yes,Specialist computing and engineering programs in agriculture and tech.,Sep,Day,Yes,"CS, Eng, Agri Tech",specialist computing engineering program agriculture tech
"Computing & IT, Social Sciences",Falmouth University,Falmouth,BBC,Yes,"Offers computing, media, and social sciences programs.",Sep,Day,Yes,"CS, Media, Psych",offer computing   medium   social science program
"Computing & IT, Engineering",Glasgow School of Art,Glasgow,BBC,Yes,Offers creative computing and engineering programs.,Sep,Day,Yes,"CS, Eng, Design",offer creative computing engineering program
"Computing & IT, Life Sciences",University of Teesside,Middlesbrough,BBC,Yes,"Offers computing, life sciences, and applied sciences.","Sep, Jan",Day,Yes,"CS, Bio Sci",offer computing   life science   apply science
"Computing & IT, Social Sciences",University of Huddersfield,Huddersfield,BBB,Yes,"Offers computing, social sciences, and management courses.",Sep,Day,Yes,"CS, Psych, Business",offer computing   social science   management course
"Computing & IT, Social Sciences",Leeds Beckett University,Leeds,BBC,Yes,"Offers computing, social sciences, and business programs.","Sep, Jan",Day,Yes,"CS, Psych, Business",offer computing   social science   business program
"Computing & IT, Management",London South Bank University,London,BBC,Yes,Offers computing and management programs.,"Sep, Jan",Day,Yes,"CS, Business",offer computing management program
"Computing & IT, Life Sciences",University of Brighton,Brighton,BBC,Yes,"Offers computing, life sciences, and media courses.",Sep,Day,Yes,"CS, Bio Sci, Media",offer computing   life science   medium course
"Computing & IT, Social Sciences",University of Hertfordshire,Hatfield,BBB,Yes,"Offers computing, social sciences, and management programs.","Sep, Jan",Day,Yes,"CS, Psych, Business",offer computing   social science   management program
"Computing & IT, Management",University of Portsmouth,Portsmouth,BBC,Yes,Offers computing and business programs.,"Sep, Jan",Day,Yes,"CS, Business",offer computing business program
