"Computing & IT, Engineering",University of Leeds,Leeds,BBB+,Yes,Offers broad STEM and social science programs.,Sep/Oct,Day,Yes,"CS, Eng, Econ"
"Computing & IT, Health",University of Birmingham,Birmingham,BBB+,Yes,"Offers computing, engineering, health sciences and social sciences.",Sep/Oct,Day,Yes,"CS, Med, Nursing"
"Computing & IT, Sciences",University of Southampton,Southampton,BBB+,Yes,"Well?ranked in computing, engineering and sciences.",Sep/Oct,Day,Yes,"CS, Eng, Physics"
"Computing & IT, Social Sciences",Newcastle University,Newcastle,BBB+,Yes,"Offers computing, business, social sciences and health.",Sep/Oct,Day,Yes,"CS, Bus, Psych"
"Computing & IT, Health",Cardiff University,Cardiff,BBB+,Yes,"Offers computing, health sciences and engineering.",Sep/Oct,Day,Yes,"CS, Nursing"
"Computing & IT, Life Sciences",University of Leeds,Leeds,BBB+,Yes,Wide range of programmes including computing and sciences.,Sep/Oct,Day,Yes,"CS, Bio Sci"
"Computing & IT, Engineering",University of Exeter,Exeter,BBB+,Yes,"Offers computing, engineering, sciences & social sciences.",Sep/Oct,Day,Yes,"CS, Eng, Econ"
"Computing & IT, Management",University of Liverpool,Liverpool,BBB+,Yes,"Offers computing, management, business & sciences.",Sep/Oct,Day,Yes,"CS, Bus, Econ"
"Computing & IT, Social Sciences",University of York,York,BBB+,Yes,Balanced programmes with computing and social sciences.,Sep/Oct,Day,Yes,"CS, Psych, Econ"
"Computing & IT, Life Sciences",University of Aberdeen,Aberdeen,BBB+,Yes,"Offers computing, life sciences, social sciences.",Sep/Oct,Day,Yes,"CS, Bio Sci"
"Computing & IT, Social Sciences",University of Sussex,Brighton,BBB,Yes,Known for social sciences and computing.,Sep/Oct,Day,Yes,"CS, Soc Sci"
"Computing & IT, Life Sciences",University of Reading,Reading,BBB,Yes,"Offers computing, life sciences, business.",Sep/Oct,Day,Yes,"CS, Bio Sci"
"Computing & IT, Health",Queenï¿½s University Belfast,Belfast,BBB,Yes,"Offers computing, health sciences & pharmacy.",Sep/Oct,Day,Yes,"CS, Pharm"
"Computing & IT, Engineering",University of Surrey,Guildford,BBB,Yes,Strong in engineering and computing.,Sep/Oct,Day,Yes,"CS, Eng"
"Computing & IT, Life Sciences",University of Hull,Hull,BBB,Yes,Offers computing and life sciences.,Sep/Oct,Day,Yes,"CS, Bio Sci"
"Computing & IT, Engineering",University of East Anglia,Norwich,BBB,Yes,Offers computing and engineering.,Sep/Oct,Day,Yes,"CS, Eng"
"Computing & IT, Management",Aston University,Birmingham,BBB,Yes,"Offers computing, management, business and engineering.",Sep/Oct,Day,Yes,"CS, MBA"
"Computing & IT, Social Sciences",University of Kent,Canterbury,BBB,Yes,"Offers computing, social sciences, business and pharmacy.",Sep/Oct,Day,Yes,"CS, Psych, Pharm"
"Computing & IT, Engineering",University of Strathclyde,Glasgow,BBB,Yes,"Offers computing, engineering and sciences.",Sep/Oct,Day,Yes,"CS, Eng"
"Computing & IT, Health",University of Brighton,Brighton,BBB,Yes,"Offers computing, pharmacy, health sciences & arts.",Sep/Oct,Day,Yes,"CS, Pharm, Nursing"
"Computing & IT, Engineering",University of Hertfordshire,Hatfield,BBB,Yes,"Offers computing, engineering and business.","Sep/Oct, Jan",Day,Yes,"CS, Eng"
"Computing & IT, Social Sciences",University of Portsmouth,Portsmouth,BBB,Yes,"Offers computing, social sciences, business and health.","Sep/Oct, Jan",Day,Yes,"CS, Bus"
"Computing & IT, Management",Manchester Metropolitan University,Manchester,BCC,Yes,"Offers computing, business and arts.","Sep/Oct, Jan",Day,Yes,"CS, Bus"
"Computing & IT, Life Sciences",Ulster University,Various NI,BBC,Yes,"Offers computing, life sciences and health programs.","Sep/Oct, Jan",Day,Yes,"CS, Bio Sci"
"Computing & IT, Engineering",Coventry University,Coventry,BCC,Yes,"Focus on applied computing, engineering & business.",Sep/Oct,Day,Yes,"CS, Eng, Bus"
"Computing & IT, Social Sciences",Birmingham City University,Birmingham,BCC,Yes,"Offers computing, social sciences & business.",Sep/Oct,Day,Yes,"CS, Psych"
"Computing & IT, Life Sciences",Bangor University,Bangor,BBC,Yes,Offers computing and life sciences.,Sep/Oct,Day,Yes,"CS, BioSci"
"Computing & IT, Management",De Montfort University,Leicester,BCC,Yes,"Offers computing, business & management.",Sep/Oct,Day,Yes,"CS, Bus"
"Computing & IT, Life Sciences",Abertay University,Dundee,BBC,Yes,Known for computing and cyber security & sciences.,Sep/Oct,Day,Yes,"CS, Cyber"
"Computing & IT, Management",Staffordshire University,Stoke?on?Trent,BCC,Yes,"Offers computing, business & management programs.",Sep/Oct,Day,Yes,"CS, Bus"
"Computing & IT, Engineering",University of Derby,Derby,BCC,Yes,"Offers computing, engineering & business.",Sep/Oct,Day,Yes,"CS, Eng"
"Computing & IT, Health","St Georgeï¿½s, University of London",London,BBC,Yes,Focus on health sciences and medicine.,Sep/Oct,Day,Yes,"Medicine, Health Sci"
"Computing & IT, Social Sciences",Canterbury Christ Church Univ.,Canterbury,BBC,Yes,"Offers computing, social sciences & education.",Sep/Oct,Day,Yes,"CS, Psych"
"Computing & IT, Social Sciences",University of Sunderland,Sunderland,BBC,Yes,"Offers computing, business & social science degrees with lab work.","Sep, Jan",Day,Yes,"CS, Psych, Business"
"Computing & IT, Management",London Metropolitan University,London,BBC,Yes,Applied computing and business programs.,"Sep, Jan",Day,Yes,"CS, Bus"
"Computing & IT, Engineering",Edge Hill University,Ormskirk,BBC,Yes,Provides computing and engineering programs.,"Sep, Jan",Day,Yes,"CS, Eng"
"Computing & IT, Life Sciences",University of Winchester,Winchester,BBC,Yes,Offers computing and science?based degrees.,Sep,Day,Yes,"CS, Bio Sci"
"Computing & IT, Social Sciences",Leeds Trinity University,Leeds,BBC,Yes,Offers computing and social science courses.,Sep,Day,Yes,"CS, Psych"
"Computing & IT, Life Sciences",University of Cumbria,"Carlisle, Lancaster, London",BBC,Yes,Offers computing and science programs.,Sep,Day,Yes,"CS, Bio Sci"
"Computing & IT, Social Sciences",Staffordshire University,Stoke?on?Trent,BBC,Yes,Broad programs in computing and social sciences.,"Sep, Jan",Day,Yes,"CS, Psych"
"Computing & IT, Management",Leeds Arts University,Leeds,BBC,Yes,Digital and creative computing with business options.,Sep,Day,Yes,"Digital Media, CS"
"Computing & IT, Engineering",University of Bolton,Bolton,BBC,Yes,Offers computing and engineering courses.,"Sep, Jan",Day,Yes,"CS, Eng"
"Computing & IT, Life Sciences",University of Wales Trinity Saint David,Multiple UK,BBC,Yes,Offers computing and science courses.,Sep,Day,Yes,"CS, Bio Sci"
"Computing & IT, Social Sciences",Buckinghamshire New University,High Wycombe,BBC,Yes,Offers computing and social science degrees.,Sep,Day,Yes,"CS, Psych"
"Computing & IT, Management",Canterbury Christ Church University,Canterbury,BBC,Yes,Offers business and computing programs.,Sep,Day,Yes,"CS, Bus"
"Computing & IT, Management",Edge Hill University,Ormskirk,BBC,Yes,"Offers computing, business and management.","Sep, Jan",Day,Yes,"CS, Bus"
"Computing & IT, Life Sciences",University of Gloucestershire,Cheltenham,BBC,Yes,Offers computing and life science programs.,"Sep, Jan",Day,Yes,"CS, Bio Sci"
"Computing & IT, Management",University of Derby,Derby,BBC,Yes,Offers computing and management programs.,"Sep, Jan",Day,Yes,"CS, Bus"
"Computing & IT, Engineering",University of West London,London,BBC,Yes,Provides computing and engineering.,"Sep, Jan",Day,Yes,"CS, Eng"
"Computing & IT, Engineering",York St John University,York,BBC,Yes,Offers computing & tech programs.,Sep,Day,Yes,"CS, Eng"
"Computing & IT, Life Sciences",University of Westminster,London,BBC,Yes,Offers computing and science?related degrees.,"Sep, Jan",Day,Yes,"CS, Bio Sci"
"Computing & IT, Social Sciences",Queen Margaret University,Edinburgh,BBC,Yes,Offers social sciences and computing.,"Sep, Jan",Day,Yes,"CS, Psych"
"Computing & IT, Management",University of South Wales,Cardiff,BBC,Yes,Offers computing and management.,Sep,Day,Yes,"CS, Bus"
"Computing & IT, Social Sciences",York St John University,York,BBC,Yes,Offers computing & social science.,Sep,Day,Yes,"CS, Psych"
"Computing & IT, Engineering",University of Suffolk,Ipswich,BBC,Yes,Offers computing & engineering programs.,Sep,Day,Yes,"CS, Eng"
"Computing & IT, Social Sciences",Falmouth University,Falmouth,BBC,Yes,Creative computing and social studies.,Sep,Day,Yes,"CS, Media"
"Computing & IT, Management",Leeds Trinity University,Leeds,BBC,Yes,Offers computing & business.,Sep,Day,Yes,"CS, Bus"
"Computing & IT, Life Sciences",Arts University Bournemouth,Bournemouth,BBC,Yes,Creativity & computing/science programs.,Sep,Day,Yes,"CS, Bio Sci"
"Computing & IT, Social Sciences",Wrexham Glynd?r University,Wrexham,BBC,Yes,Offers computing & social sciences.,Sep,Day,Yes,"CS, Psych"
"Computing & IT, Management",Buckinghamshire New University,High Wycombe,BBC,Yes,Offers computing & management courses.,Sep,Day,Yes,"CS, Bus"
"Computing & IT, Life Sciences",University of Worcester,Worcester,BBC,Yes,Offers computing & science degrees.,Sep,Day,Yes,"CS, Bio Sci"
"Computing & IT, Management",Leeds Arts University,Leeds,BBC,Yes,Offers computing & business options.,Sep,Day,Yes,"CS, Bus"
"Computing & IT, Engineering",Nottingham Trent University,Nottingham,BBB,Yes,Offers computing & engineering programs (expanded intake).,Sep,Day,Yes,"CS, Eng"
"Computing & IT, Management",University of Abertay Dundee,Dundee,BBC,Yes,"Known for computing, cybersecurity, and applied sciences programs.",Sep,Day,Yes,"CS, Cyber Security, IT, Business"
"Computing & IT, Life Sciences",University of Bedfordshire,"Luton, Bedford",BBC,Yes,"Offers computing, life sciences, and health sciences programs.","Sep, Jan",Day,Yes,"CS, Bio Sci, Health"
"Computing & IT, Engineering",University of Bolton,Bolton,BBC,Yes,"Offers computing, engineering, and technology programs.","Sep, Jan",Day,Yes,"CS, Eng, IT"
"Computing & IT, Social Sciences",London Metropolitan University,London,BBC,Yes,"Offers computing, business, and social sciences programs.","Sep, Jan",Day,Yes,"CS, Psych, Business"
"Computing & IT, Management",University of Chichester,Chichester,BBC,Yes,"Offers business, computing, and management courses.",Sep,Day,Yes,"CS, Business, Management"
"Computing & IT, Engineering",University of Cumbria,"Carlisle, Lancaster, London",BBC,Yes,Offers computing and engineering programs.,Sep,Day,Yes,"CS, Eng, IT"
"Computing & IT, Life Sciences",Newman University,Birmingham,BBC,Yes,Offers computing and life sciences courses.,Sep,Day,Yes,"CS, Bio Sci"
"Computing & IT, Social Sciences",University of Winchester,Winchester,BBC,Yes,Offers computing and social sciences programs.,Sep,Day,Yes,"CS, Psych"
"Computing & IT, Management",Bath Spa University,Bath,BBC,Yes,"Offers computing, business, and management courses.",Sep,Day,Yes,"CS, Business, Management"
"Computing & IT, Life Sciences",University of Worcester,Worcester,BBC,Yes,Offers computing and life sciences programs.,Sep,Day,Yes,"CS, Bio Sci"
"Computing & IT, Management",Leeds Arts University,Leeds,BBC,Yes,Offers creative computing and business programs.,Sep,Day,Yes,"CS, Media, Business"
"Computing & IT, Life Sciences",Arts University Bournemouth,Bournemouth,BBC,Yes,"Creative computing, media, and life sciences programs.",Sep,Day,Yes,"CS, Bio Sci, Media"
"Computing & IT, Social Sciences",University of Gloucestershire,Cheltenham,BBC,Yes,Offers computing and social sciences programs.,"Sep, Jan",Day,Yes,"CS, Psych, Social Sci"
"Computing & IT, Management",Staffordshire University,Stoke-on-Trent,BBC,Yes,"Offers computing, business, and management programs.","Sep, Jan",Day,Yes,"CS, Business, Management"
"Computing & IT, Life Sciences",University of the West of England (UWE),Bristol,BBB,Yes,"Offers computing, life sciences, and creative courses.",Sep,Day,Yes,"CS, Bio Sci, Media"
"Computing & IT, Management",York St John University,York,BBC,Yes,"Offers computing, business, and management programs.",Sep,Day,Yes,"CS, Business"
"Computing & IT, Life Sciences",University of South Wales,Cardiff,BBC,Yes,"Offers computing, life sciences, and health programs.",Sep,Day,Yes,"CS, Bio Sci, Health"
"Computing & IT, Life Sciences",Queen Margaret University,Edinburgh,BBC,Yes,"Offers computing, health, and life sciences programs.","Sep, Jan",Day,Yes,"CS, Bio Sci"
"Computing & IT, Engineering",Harper Adams University,Newport,BBC,Yes,Specialist computing and engineering programs in agriculture and tech.,Sep,Day,Yes,"CS, Eng, Agri Tech"
"Computing & IT, Social Sciences",Falmouth University,Falmouth,BBC,Yes,"Offers computing, media, and social sciences programs.",Sep,Day,Yes,"CS, Media, Psych"
"Computing & IT, Engineering",Glasgow School of Art,Glasgow,BBC,Yes,Offers creative computing and engineering programs.,Sep,Day,Yes,"CS, Eng, Design"
"Computing & IT, Life Sciences",University of Teesside,Middlesbrough,BBC,Yes,"Offers computing, life sciences, and applied sciences.","Sep, Jan",Day,Yes,"CS, Bio Sci"
"Computing & IT, Social Sciences",University of Huddersfield,Huddersfield,BBB,Yes,"Offers computing, social sciences, and management courses.",Sep,Day,Yes,"CS, Psych, Business"
"Computing & IT, Social Sciences",Leeds Beckett University,Leeds,BBC,Yes,"Offers computing, social sciences, and business programs.","Sep, Jan",Day,Yes,"CS, Psych, Business"
"Computing & IT, Management",London South Bank University,London,BBC,Yes,Offers computing and management programs.,"Sep, Jan",Day,Yes,"CS, Business"
"Computing & IT, Life Sciences",University of Brighton,Brighton,BBC,Yes,"Offers computing, life sciences, and media courses.",Sep,Day,Yes,"CS, Bio Sci, Media"
"Computing & IT, Social Sciences",University of Hertfordshire,Hatfield,BBB,Yes,"Offers computing, social sciences, and management programs.","Sep, Jan",Day,Yes,"CS, Psych, Business"
"Computing & IT, Management",University of Portsmouth,Portsmouth,BBC,Yes,Offers computing and business programs.,"Sep, Jan",Day,Yes,"CS, Business"
"Computing & IT, Social Sciences",University of Sunderland,Sunderland,BBC,Yes,Offers computing and social sciences courses.,"Sep, Jan",Day,Yes,"CS, Psych"
"Computing & IT, Engineering, Life Sciences, Management, Social Sciences",Lomonosov Moscow State University,Moscow,85,Yes,"Russiaï¿½s oldest & leading research university with wide programs across sciences, engineering, humanities & social sciences.","Jan, July, Aug",Morning,Yes,"BS/MS/PhD in CS, Physics, Biology, Economics, Law"
"Computing & IT, Engineering, Management, Social Sciences",National Research University Higher School of Economics (HSE),Moscow,80,Yes,"Top economics, social sciences, business and IT focused research university.","Jan, July, Aug",Morning/Evening,Yes,"BA Economics, IT, MBA, MA Social Sciences, PhD"
"Engineering, Computing & IT, Management",Bauman Moscow State Technical University,Moscow,80,Yes,One of Russiaï¿½s leading engineering & tech universities with strong lab emphasis.,"Jan, July, Aug",Morning,Some,"BEng, MEng, Robotics, Mech Eng, CS"
"Life Sciences, Health Sciences",First Moscow State Medical University (Sechenov),Moscow,85,Yes,"Premier medical university offering MD, dentistry and biomedical programs.","Jan, July",Morning,Limited,"Medicine, Dentistry, Pharmacy"
"Computing & IT, Engineering",Moscow Institute of Physics and Technology (MIPT),Dolgoprudny/Moscow,83,Yes,Highly selective STEM & research?intensive university.,"Jan, July",Morning,Some,"Physics, CS, Applied Math, Eng"
"Engineering, Life Sciences",Peter the Great St.Petersburg Polytechnic University,Saint Petersburg,78,Yes,Tech & engineering focused with research labs.,"Jan, July",Morning,Some,"Eng, CS, Materials Sci"
"Computing & IT, Engineering",ITMO University,Saint Petersburg,80,Yes,"Known for IT, optics, photonics & robotics.","Jan, July",Morning,Yes,"Comp Sci, AI, Robotics"
"Engineering, Social Sciences",Ural Federal University,Yekaterinburg,75,Yes,Comprehensive federal university across many fields.,"Jan, July",Morning,Yes,"Eng, Econ, Law, CS"
"Computing & IT, Engineering, Science",Novosibirsk State University,Novosibirsk,78,Yes,Major scientific university in Siberia.,"Jan, July",Morning,Some,"Physics, Math, CS"
"Computing & IT, Engineering",Tomsk State University,Tomsk,75,Yes,Research?oriented classical university.,"Jan, July",Morning,Yes,"Biology, Eng, CS, Econ"
"Engineering, Computing & IT",Tomsk Polytechnic University,Tomsk,73,Yes,Technical university strong in engineering.,"Jan, July",Morning,Some,"Chemical Eng, Mech Eng, CS"
"Engineering, Social Sciences",Peoplesï¿½ Friendship University of Russia (RUDN),Moscow,70,Yes,International university with diverse programs.,"Jan, July",Morning,Yes,"MBBS, Eng, Econ, Law"
"Computing & IT, Engineering, Management",Moscow Power Engineering Institute (MPEI),Moscow,72,Yes,Technical & power engineering programs.,"Jan, July",Morning,Some,"Power Eng, CS"
"Engineering, Computing & IT",National Research University of Electronic Technology (MIET),Moscow,74,Yes,Specializes in electronics & IT.,"Jan, July",Morning,Yes,"Electronics, CS"
"Computing & IT, Engineering",National Research Technological University MISiS,Moscow,72,Yes,"Materials science, engineering & tech.","Jan, July",Morning,Yes,"Materials Eng, CS"
"Engineering, IT",Moscow State University of Civil Engineering,Moscow,70,Yes,Civil & infrastructure engineering focus.,"Jan, July",Morning,Some,"Civil Eng, Arch"
Engineering,Kazan Federal University,Kazan,75,Yes,Comprehensive university with breadth of programs.,"Jan, July",Morning,Yes,"Med, Eng, CS, Econ"
"Health Sciences, Life Sciences",Kazan State Medical University,Kazan,80,Yes,Medical and allied health sciences programs.,"Jan, July",Morning,Limited,"Medicine, Pharmacy"
"Computing & IT, Engineering",Southern Federal University,Rostov?on?Don & Taganrog,72,Yes,Major federal research university in south Russia.,"Jan, July",Morning,Yes,"Eng, Econ, CS"
"Engineering, IT",Siberian Federal University,Krasnoyarsk,70,Yes,Federal university with diverse programs.,"Jan, July",Morning,Yes,"CS, Eng, Econ"
Life Sciences,Altai State Medical University,Barnaul,72,Yes,Regional medical sciences focus.,"Jan, July",Morning,Limited,Medicine
Social Sciences,Russian State University for the Humanities,Moscow,65,Some,Strong humanities & social sciences programs.,"Jan, July",Morning,Yes,"History, Linguistics, Soc Sci"
Engineering,Ulyanovsk State University,Ulyanovsk,65,Yes,Regional comprehensive university.,"Jan, July",Morning/Evening,Yes,"Econ, Law, CS"
"Engineering, Computing & IT",National Research Nuclear University MEPhI,Moscow,78,Yes,"Nuclear, physics, and eng?heavy programs.","Jan, July",Morning,Some,"Physics, CS, Eng"
Engineering,Bauman Moscow State Technical University Branches,Multiple,75,Yes,Technical branches with engineering focus.,"Jan, July",Morning,Some,Eng streams
Computing & IT,Moscow Polytechnic University,Moscow,68,Yes,Polytechnic programs in tech & IT.,"Jan, July",Morning,Yes,"CS, Eng"
"Management, Social Sciences",Russian New University,Moscow,60,Some,Private/independent with business & social sciences.,"Jan, July",Morning/Evening,Yes,"Bus, Law, CS"
"Engineering, Life Sciences",Immanuel Kant Baltic Federal University,Kaliningrad,65,Yes,Multidisciplinary federal university.,"Jan, July",Morning,Yes,"Bio, Eng, Econ"
Engineering,Nizhny Novgorod State Technical University (NNSTU),Nizhny Novgorod,70,Yes,Engineering & tech oriented.,"Jan, July",Morning,Some,"Eng, CS"
Computing & IT,IT & Management University,Various,60,Yes,Focus on IT & business.,"Jan, July",Morning/Evening,Yes,"CS, Finance"
Engineering,Voronezh State University,Voronezh,65,Yes,Comprehensive programs including sciences.,"Jan, July",Morning,Yes,"Physics, CS, Econ"
"Life Sciences, Health",Volgograd State Medical University,Volgograd,75,Yes,Medical sciences programs.,"Jan, July",Morning,Some,"Medicine, Pharmacy"
Engineering,Kuban State University,Krasnodar,65,Yes,Regional classical and tech programs.,"Jan, July",Morning,Yes,"Econ, CS, Law"
Engineering,Irkutsk State University,Irkutsk,65,Yes,Classic university with sciences.,"Jan, July",Morning,Yes,"Bio, Econ, CS"
Engineering,Chelyabinsk State University,Chelyabinsk,63,Yes,Comprehensive regional programs.,"Jan, July",Morning,Yes,"Econ, Eng, CS"
Engineering,South Ural State University,Chelyabinsk,68,Yes,Science & engineering emphasis.,"Jan, July",Morning,Yes,"Eng, Econ, CS"
Life Sciences,Saratov State Medical University,Saratov,70,Yes,Medical & health sciences.,"Jan, July",Morning,Limited,Medicine
Engineering & Tech,Orenburg State University,Orenburg,62,Yes,Broad tech and humanities.,"Jan, July",Morning,Yes,"Econ, CS, Law"
Management,Plekhanov Russian University of Economics,Moscow,68,Some,Specializes in economics & business.,"Jan, July",Morning,Yes,"Econ, MBA, Finance"
Social Sciences,Moscow State Institute of International Relations (MGIMO),Moscow,80,Yes,"Prestigious diplomacy, politics, economics.","Jan, July",Morning,Some,"IR, Law, Econ"
Engineering,Russian State Vocational Pedagogical University,Yekaterinburg,60,Some,Pedagogical & professional programs.,"Jan, July",Morning,Yes,"Education, Eng Tech"
Engineering,Ryazan State Radio Engineering University,Ryazan,62,Yes,Specializes in radio & electronics.,"Jan, July",Morning,Some,"Elec Eng, CS"
Engineering,Kalashnikov Izhevsk State Technical University,Izhevsk,60,Yes,Tech & engineering programs.,"Jan, July",Morning,Some,"Mech Eng, CS"
Engineering,Perm National Research Polytechnic University,Perm,67,Yes,Engineering & tech research focus.,"Jan, July",Morning,Yes,"Eng, CS"
Engineering,Kazan National Research Technological University,Kazan,65,Yes,Tech & applied sciences.,"Jan, July",Morning,Yes,"Materials, Eng"
Life Sciences,Kazan State Academy of Veterinary Medicine,Kazan,60,Yes,Veterinary & life sciences.,"Jan, July",Morning,Limited,Vet Med
Engineering,Novgorod State University,Veliky Novgorod,60,Yes,Comprehensive small university.,"Jan, July",Morning,Yes,"Econ, CS, Law"
Engineering,Tyumen State University,Tyumen,62,Yes,Regional comprehensive programs.,"Jan, July",Morning,Yes,"Eng, Econ, CS"
Engineering,Kemerovo State University,Kemerovo,58,Yes,Regional university with sciences.,"Jan, July",Morning,Yes,"Bio, CS"
"Management, Social Sciences",Moscow Institute of Management (RANEPA),Moscow,65,Some,Management & public admin focus.,"Jan, July",Morning,Yes,"MBA, Public Admin"
Engineering,Tambov State Technical University,Tambov,60,Yes,Technical programs.,"Jan, July",Morning,Some,"Eng, CS"
Social Sciences,St. Petersburg State University,Saint Petersburg,78,Yes,Russiaï¿½s oldest classical university with wide offerings.,"Jan, July",Morning,Yes,"Law, Econ, CS, Arts"
"Computing & IT, Management, Social Sciences",Admiral Makarov State University of Maritime and Inland Shipping,Saint Petersburg,60,Yes,"Maritime, logistics, engineering & management programs focusing on marine transport and related fields.","Jan, July, Aug",Morning,Some,"Maritime Eng, Logistics, Econ"
"Life Sciences, Management",Adyghe State University,Maykop,60,Yes,"Regional university with programs in humanities, sciences, and management.","Jan, July, Aug",Morning,Yes,"Econ, Law, Bio Sci"
Health Sciences,Amur State Medical Academy,Blagoveshchensk,65,Yes,Medical education and allied health science programs.,"Jan, July",Morning,Limited,"Medicine, Nursing"
"Humanities, Pedagogy",Amur State University of Humanities and Pedagogy,Komsomolsk-on-Amur,60,Yes,"Focus on education, humanities & teaching professions.","Jan, July",Morning,Yes,"Education, Psych, Linguistics"
Engineering,Angarsk State Technical University,Angarsk,62,Yes,Technical and applied sciences with engineering labs.,"Jan, July",Morning,Some,"Mech Eng, CS"
Agricultural Sciences,Arctic State Agrotechnological University,Yakutsk,60,Yes,"Focused on agriculture, food technology, and natural resource management.","Jan, July",Morning,Yes,"Agronomy, Food Tech"
Pedagogy,Armavir State Pedagogical University,Armavir,58,Some,Teacher training and education programs.,"Jan, July",Morning/Eve,Yes,"Education, Social Sci"
"Conservatory, Arts",Astrakhan State Conservatory,Astrakhan,60,Limited,"Music, arts and performance studies.","Jan, July",Morning,Yes,"Music Perf, Arts"
Medical,Astrakhan State Medical Academy,Astrakhan,70,Yes,Medicine and healthcare education.,"Jan, July",Morning,Limited,"Medicine, Pharmacy"
Engineering,Astrakhan State Technical University,Astrakhan,60,Yes,Technical and engineering programs.,"Jan, July",Morning,Some,"Eng, CS"
General,Astrakhan State University,Astrakhan,60,Yes,"Broad educational programs with sciences, humanities, and social sciences.","Jan, July",Morning,Yes,"Econ, Eng, Bio"
Sciences,Baikal State University,Irkutsk,60,Yes,"Sciences, humanities and regional research programs.","Jan, July",Morning,Yes,"Bio Sci, CS"
Engineering,Belgorod State Agricultural University,Belgorod,60,Yes,Agricultural sciences and environmental programs.,"Jan, July",Morning,Yes,"Agronomy, Env Sci"
Engineering,Belgorod State Technological University,Belgorod,60,Yes,Focus on technology and engineering.,"Jan, July",Morning,Yes,"Mech Eng, CS"
General,Nayanova University,Samara,60,Yes,"Tech, management, IT & business education.","Jan, July",Morning,Yes,"Business, IT, Eng"
Humanities,Nevsky Institute of Language and Culture,Saint Petersburg,58,Some,"Language studies, culture, humanities.","Jan, July",Morning,Yes,"Lang, Soc Sci"
Engineering,Nizhnevartovsk State University,Nizhnevartovsk,60,Yes,Regional programs in engineering and sciences.,"Jan, July",Morning,Yes,"Eng, Econ"
Agric & Veterinary,Nizhny Novgorod State Agricultural Academy,Nizhny Novgorod,60,Yes,Agriculture and life sciences.,"Jan, July",Morning,Yes,"Agronomy, Vet Sci"
Pedagogy,Nizhny Novgorod State Pedagogical University,Nizhny Novgorod,58,Some,Teacher education and humanities.,"Jan, July",Morning,Yes,"Ed, Lang"
Civil & Arch Eng,Nizhny Novgorod State University of Architecture and Civil Engineering,Nizhny Novgorod,62,Yes,"Architecture, civil engineering and design.","Jan, July",Morning,Some,"Arch, Civil Eng"
Technical,Polzunov Altai State Technical University,Barnaul,60,Yes,Technical programs with lab components.,"Jan, July",Morning,Some,"CS, Elec Eng"
Maritime,Saint Petersburg State University of Marine and River Fleet,Saint Petersburg,60,Yes,Maritime transport and fleet engineering.,"Jan, July",Morning,Some,Marine Eng
Pedagogy,Altai State Pedagogical Academy,Barnaul,58,Some,Education and teaching programs.,"Jan, July",Morning,Yes,"Education, Lang"
Agriculture,Altai State University of Agriculture,Barnaul,60,Yes,Agrarian sciences and environmental programs.,"Jan, July",Morning,Yes,Agronomy
General,Altai State Pedagogical University,Biysk,58,Yes,Education and related fields.,"Jan, July",Morning,Yes,Education
Engineering,Crimean Federal University,Simferopol,65,Yes,"Multidisciplinary campus with engineering, sciences and humanities.","Jan, July",Morning,Yes,"Eng, CS, Law"
Life Sciences,North State Medical University,Arkhangelsk,70,Yes,Medical and health sciences programs.,"Jan, July",Morning,Some,Medicine
General,Northern Arctic Federal University,Arkhangelsk,65,Yes,"Multidisciplinary northern studies, sciences and eng.","Jan, July",Morning,Yes,"Arctic Sci, CS"
Engineering,Far East State Agrarian University,Blagoveshchensk,60,Yes,Agricultural and life sciences.,"Jan, July",Morning,Yes,Agronomy
Engineering,Saratov State Agricultural University,Saratov,60,Yes,Agriscience and tech programs.,"Jan, July",Morning,Yes,Agronomy
Medical,Pyatigorsk State Medical Pharmaceutical University,Pyatigorsk,70,Yes,Medical and pharmaceutical programs.,"Jan, July",Morning,Some,"Med, Pharm"
Engineering,Volga State Technical University,Nizhny Novgorod,62,Yes,Tech and engineering groups.,"Jan, July",Morning,Yes,"Eng, CS"
General,Kursk State University,Kursk,60,Yes,Comprehensive regional university.,"Jan, July",Morning,Yes,"Econ, CS"
Social Sciences,Moscow University for the Humanities,Moscow,60,Some,Social sciences and humanities programs.,"Jan, July",Morning,Yes,"Soc Sci, Lang"
Social Sciences,Moscow University Touro,Moscow,60,Some,"Business, law and humanities.","Jan, July",Morning,Yes,"Bus, Law"
General,Murmansk Arctic University,Murmansk,60,Yes,Multidisciplinary northern focus.,"Jan, July",Morning,Yes,"Sci, Econ"
Technical,Murmansk State Technical University,Murmansk,60,Yes,Applied technical programs.,"Jan, July",Morning,Some,"Eng, CS"
Management,Russian State University of Tourism and Service,Moscow,60,Some,"Tourism, service management.","Jan, July",Morning,Yes,"Tourism, Mgmt"
General,Orel State University,Orel,60,Yes,Broad programs in sciences and humanities.,"Jan, July",Morning,Yes,"Econ, CS"
Engineering,Moscow State University of Environmental Engineering,Moscow,60,Yes,Environmental sciences and engineering.,"Jan, July",Morning,Some,"Env Eng, Sci"
Engineering,Moscow State University of Food Production,Moscow,60,Yes,Food sciences and production tech.,"Jan, July",Morning,Some,Food Sci
General,Udmurt State University,Izhevsk,65,Yes,Classical university with varied programs.,"Jan, July",Morning,Yes,"Econ, Law, Sci"
